,shoes
0,AJKO 1 Low
1,Air Jodan 1 Mid
2,Air Jordan 1 High G
3,Air Jordan 1 High MM
4,Air Jordan 1 High OG
5,Air Jordan 1 Low
6,Air Jordan 1 Low FlyEase
7,Air Jordan 1 Low SE Craft
8,Air Jordan 1 Mid
9,Air Jordan 1 Mid SE
10,Air Jordan 1 Mid SE Craft
11,Air Jordan 1 Retro High OG Mauve
12,Air Jordan 1 Retro High OG Satin Bred
13,Air Jordan 1 Retro Low OG White/Red
14,Air Jordan 1 Zoom CMFT 2
15,Air Jordan 11 CMFT Low
16,Air Jordan 12 Retro
17,Air Jordan 2 Retro
18,Air Jordan 4 Retro
19,Air Jordan 5 Retro SE
20,Air Jordan 6 Retro Aqua
21,Converse Chuck Taylor All Star Low Top
22,Converse x TURBODRK Chuck 70 Laceless
23,Cosmic Unity 3
24,Freak 4
25,Freak 5 (Team)
26,Giannis Immortality 2
27,Ja 1
28,Jordan 1 Retro High OG
29,Jordan ADG 4
30,Jordan ADG 4 x Eastside Golf
31,Jordan Pro Strong
32,Jordan Stadium 90
33,Jordan True Flight
34,Jordan XII G
35,Jumpman MVP
36,Jumpman Two Trey
37,KD 16 By You
38,KD Trey 5 IX
39,KD Trey 5 X
40,KD16 Aunt Pearl
41,Lebron 19
42,Lebron NXXT Gen
43,Lebron Witness 7
44,Lebron XX SE
45,Luka 2 The Pitch
46,NOCTA x Nike Hot Step Air Terra
47,Nike ACG Air Mada
48,Nike ACG Lowcate
49,Nike ACG Moc
50,Nike ACG Moc Premium
51,Nike ACG Watercat+
52,Nike Air Alpha Force 88
53,Nike Air Dunk Jumbo
54,Nike Air Flight Huarache
55,Nike Air Force 1 '07
56,Nike Air Force 1 '07 EasyOn
57,Nike Air Force 1 '07 LV8
58,Nike Air Force 1 '07 Premium
59,Nike Air Force 1 '07 SE
60,Nike Air Force 1 Lover XX
61,Nike Air Force 1 Low By You
62,Nike Air Force 1 Low Retro
63,Nike Air Force 1 Shadow
64,Nike Air Fore 1 High LE
65,Nike Air Huarache By You
66,Nike Air Huarache Craft
67,Nike Air MAx Excee
68,Nike Air Max 1 '87 By You
69,Nike Air Max 1 SE EZ
70,Nike Air Max 2013
71,Nike Air Max 2017
72,Nike Air Max 2021
73,Nike Air Max 270
74,Nike Air Max 270 GO
75,Nike Air Max 90
76,Nike Air Max 90 AMD
77,Nike Air Max 90 LTR
78,Nike Air Max 95 By You
79,Nike Air Max 95 Unlocked By You
80,Nike Air Max 97
81,Nike Air Max 97 By You Greatest Gift
82,Nike Air Max 97 Premium
83,Nike Air Max 97 SE
84,Nike Air Max Alpha Trainer 5
85,Nike Air Max Bella TR 5 Premium
86,Nike Air Max Bliss
87,Nike Air Max Bolt
88,Nike Air Max Correlate
89,Nike Air Max Flyknit Racer
90,Nike Air Max Goaterra 2.0
91,Nike Air Max INTRLK Lite
92,Nike Air Max Plus
93,Nike Air Max SC
94,Nike Air Max SC SE
95,Nike Air Max SYSTM
96,Nike Air Max Solo
97,Nike Air Max TW
98,Nike Air Max Thea
99,Nike Air More Uptempo
